content	x	y	w	h	
ditang	935	473	135	68	
.	1105	483	13	61	
Anda	1177	487	102	66	
ches	13	608	21	50	
otta	-5	725	27	46	
.	28	729	3	43	
tele	3	783	31	39	
ino	10	831	25	57	
.fo	-6	945	27	48	
.	21	945	11	48	
delm	162	203	96	48	
.	264	203	7	48	
di	281	202	50	48	
R.	355	202	51	48	
399155	1132	215	132	45	
38521622	164	254	209	67	
P.Popilio	406	254	223	67	
Lenate	646	254	154	67	
.	795	254	17	67	
P.Rupilio	870	254	213	67	
Nepote	1098	254	167	67	
3853	164	312	104	62	
623	281	312	87	62	
P.Licinio	429	311	193	62	
Craſſo	648	310	131	62	
.	804	310	17	62	
L.Valerio	868	310	217	61	
Flacco	1106	309	141	61	
.	1252	308	14	62	
3854624	164	371	211	60	
Ap	423	364	66	63	
.	489	362	13	65	
Claudio	513	361	178	60	
.	707	356	13	65	
M.	872	364	57	60	
Paperna	949	365	184	63	
.	1150	370	11	59	
38551625	163	425	210	59	
M.	405	422	70	61	
Aquilio	491	421	170	59	
.	675	419	12	61	
C.Sempronio	868	426	306	52	
Tu	1205	420	65	56	
3856626	162	534	213	60	
Cn	429	530	58	62	
.	491	529	19	63	
Ottavio	515	528	172	61	
.	715	525	15	63	
T.	873	536	45	47	
Annio	941	536	138	46	
.	1096	535	10	47	
3857627	163	587	211	66	
L.CaffioLongino	401	585	388	64	
.	789	582	20	67	
L.Cornelio	881	582	235	65	
Cinna	1121	580	133	66	
,	1254	579	20	67	
3858628	163	645	209	62	
M.Emilio	405	644	225	62	
Lepido	644	643	153	62	
.	795	642	18	63	
L.	871	641	58	63	
Aurelio	930	641	157	62	
Oreſte	1112	640	141	62	
,	1250	639	18	63	
3859	167	705	104	60	
629	301	704	76	60	
M.	425	702	67	61	
Plauzio	505	702	153	59	
Ipſe	692	700	92	60	
.M	799	698	116	60	
.	919	697	12	61	
Fulvio	953	697	144	59	
Flacco	1115	695	139	60	
.	1261	693	14	61	
